Laigueglia comune,Laigueglia comune.1
,
Laigueglia – VedutaPanorama di Laigueglia,Laigueglia – VedutaPanorama di Laigueglia
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Giorgio Manfredi (Lista civica Amo Laigueglia) dal 15-5-2023
Data di istituzione,1861
Territorio,Territorio
Coordinate,43°58′28.24″N 8°09′29.92″E
Altitudine,6 m s.l.m.
Superficie,"2,72 km²"
Abitanti,1 689[1] (30-11-2025)
Densità,"620,96 ab./km²"
Comuni confinanti,"Alassio, Andora"
Altre informazioni,Altre informazioni
Cod. postale,17053
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009033
Cod. catastale,E414
Targa,SV
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 206 GG[3]"
Nome abitanti,laiguegliesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Laigueglia,Laigueglia
Laigueglia – MappaPosizione del comune di Laigueglia nella provincia di Savona,Laigueglia – MappaPosizione del comune di Laigueglia nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
