Mallare comune,Mallare comune.1
,
Mallare – VedutaVista d'insieme,Mallare – VedutaVista d'insieme
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Flavio Astiggiano (lista civica Uniti per costruire) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°17′29.81″N 8°17′51.41″E
Altitudine,458 m s.l.m.
Superficie,"31,73 km²"
Abitanti,1 019[1] (30-11-2025)
Densità,"32,11 ab./km²"
Frazioni,"Acque, Codevilla, Eremita, Montefreddo"
Comuni confinanti,"Altare, Bormida, Calice Ligure, Carcare, Orco Feglino, Pallare, Quiliano"
Altre informazioni,Altre informazioni
Cod. postale,17045
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009036
Cod. catastale,E860
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 416 GG[3]"
Nome abitanti,mallaresi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mallare,Mallare
Mallare – MappaPosizione del comune di Mallare nella provincia di Savona,Mallare – MappaPosizione del comune di Mallare nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
