Vezzi Portio comune,Vezzi Portio comune.1
,
Vezzi Portio – Veduta,Vezzi Portio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Germano Barbano (lista civica Vivo Vezzi) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1871
Territorio,Territorio
Coordinate,44°13′44.48″N 8°21′43.97″E
Altitudine,300 m s.l.m.
Superficie,"8,76 km²"
Abitanti,793[1] (30-11-2025)
Densità,"90,53 ab./km²"
Frazioni,"Magnone (sede comunale), Portio, San Filippo, San Giorgio"
Comuni confinanti,"Finale Ligure, Noli, Orco Feglino, Quiliano, Spotorno, Vado Ligure"
Altre informazioni,Altre informazioni
Cod. postale,17028
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009067
Cod. catastale,L823
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 009 GG[3]"
Nome abitanti,vezzesi
Patrono,Santissimo Salvatore
Giorno festivo,6 agosto
Cartografia,Cartografia
Vezzi Portio,Vezzi Portio
Vezzi Portio – MappaPosizione del comune di Vezzi Portio nella provincia di Savona,Vezzi Portio – MappaPosizione del comune di Vezzi Portio nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
