Bardineto comune,Bardineto comune.1
,
Bardineto – VedutaIl centro comunale visto dalla Rocca Barbena,Bardineto – VedutaIl centro comunale visto dalla Rocca Barbena
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Mario Basso (lista civica Crediamo in Bardineto) dal 10-6-2024
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°11′31.52″N 8°07′44.91″E
Altitudine,711 m s.l.m.
Superficie,"29,79 km²"
Abitanti,768[1] (30-11-2025)
Densità,"25,78 ab./km²"
Comuni confinanti,"Boissano, Calizzano, Castelvecchio di Rocca Barbena, Garessio (CN), Giustenice, Loano, Magliolo, Pietra Ligure, Toirano"
Altre informazioni,Altre informazioni
Cod. postale,17057
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009009
Cod. catastale,A647
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 072 GG[3]"
Nome abitanti,bardinetesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Bardineto,Bardineto
Bardineto – MappaPosizione del comune di Bardineto nella provincia di Savona,Bardineto – MappaPosizione del comune di Bardineto nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
