Zuccarello comune,Zuccarello comune.1
,
Zuccarello – VedutaUno scorcio del borgo con i caratteristici portici,Zuccarello – VedutaUno scorcio del borgo con i caratteristici portici
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,"Claudio Paliotto (lista civica di centro-destra ""Uniti per Zuccarello"") dal 1-6-2015 (2º mandato dal 22-9-2020)"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°06′39.7″N 8°06′57.06″E
Altitudine,130 m s.l.m.
Superficie,"10,81 km²"
Abitanti,282[1] (30-11-2025)
Densità,"26,09 ab./km²"
Comuni confinanti,"Arnasco, Balestrino, Castelbianco, Castelvecchio di Rocca Barbena, Cisano sul Neva, Erli"
Altre informazioni,Altre informazioni
Cod. postale,17039
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009069
Cod. catastale,M197
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 689 GG[3]"
Nome abitanti,zuccarellesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Zuccarello,Zuccarello
Zuccarello – MappaPosizione del comune di Zuccarello nella provincia di Savona,Zuccarello – MappaPosizione del comune di Zuccarello nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
