Borghetto Santo Spirito comune,Borghetto Santo Spirito comune.1
,
Borghetto Santo Spirito – VedutaPanorama di Borghetto Santo Spirito,Borghetto Santo Spirito – VedutaPanorama di Borghetto Santo Spirito
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Giancarlo Canepa (lista civica di centro-destra Borghetto c'è) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°06′32.59″N 8°14′28.89″E
Altitudine,2 m s.l.m.
Superficie,"5,39 km²"
Abitanti,4 561[1] (30-11-2025)
Densità,"846,2 ab./km²"
Comuni confinanti,"Boissano, Ceriale, Loano, Toirano"
Altre informazioni,Altre informazioni
Cod. postale,17052
Prefisso,0182
Fuso orario,UTC+1
Codice ISTAT,009012
Cod. catastale,A999
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 360 GG[3]"
Nome abitanti,borghettini
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Borghetto Santo Spirito,Borghetto Santo Spirito
Borghetto Santo Spirito – MappaPosizione del comune di Borghetto Santo Spirito nella provincia di Savona,Borghetto Santo Spirito – MappaPosizione del comune di Borghetto Santo Spirito nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
