Plodio comune,Plodio comune.1
,
Plodio – VedutaLa parrocchiale di Sant'Andrea apostolo di Plodio,Plodio – VedutaLa parrocchiale di Sant'Andrea apostolo di Plodio
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Gabriele Badano (lista civica Insieme per Plodio) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°21′23.86″N 8°14′35.13″E
Altitudine,498 m s.l.m.
Superficie,"8,65 km²"
Abitanti,616[1] (30-11-2025)
Densità,"71,21 ab./km²"
Frazioni,Piani
Comuni confinanti,"Carcare, Cosseria, Millesimo, Pallare"
Altre informazioni,Altre informazioni
Cod. postale,17043
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009050
Cod. catastale,G741
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 478 GG[3]"
Nome abitanti,plodiesi
Patrono,Sant'Andrea e compatrona sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Plodio,Plodio
Plodio – MappaPosizione del comune di Plodio nella provincia di Savona,Plodio – MappaPosizione del comune di Plodio nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
