Cairo Montenotte comune,Cairo Montenotte comune.1
,
Cairo Montenotte – VedutaPiazza della Vittoria,Cairo Montenotte – VedutaPiazza della Vittoria
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,Paolo Lambertini (lista civica di centro-destra Noi per Cairo) dal 12-6-2017 (2º mandato dal 27-6-2022)
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°23′52.41″N 8°16′40.04″E
Altitudine,330 m s.l.m.
Superficie,"100,4 km²"
Abitanti,12 957[1] (30-11-2025)
Densità,"129,05 ab./km²"
Frazioni,"Bragno, Carnovale, Carretto, Ferrania, Montenotte Inferiore, Montenotte Superiore, Monti, Rocchetta Cairo, San Giuseppe, Ville"
Comuni confinanti,"Albisola Superiore, Altare, Carcare, Cengio, Cosseria, Dego, Giusvalla, Pontinvrea, Saliceto (CN), Gottasecca (CN), Savona"
Altre informazioni,Altre informazioni
Cod. postale,17014
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009015
Cod. catastale,B369
Targa,SV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 128 GG[3]"
Nome abitanti,cairesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cairo Montenotte,Cairo Montenotte
Cairo Montenotte – MappaPosizione del comune di Cairo Montenotte nella provincia di Savona,Cairo Montenotte – MappaPosizione del comune di Cairo Montenotte nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
