Tovo San Giacomo comune,Tovo San Giacomo comune.1
,
Tovo San Giacomo – VedutaIl municipio e la parrocchiale di San Giacomo a Tovo,Tovo San Giacomo – VedutaIl municipio e la parrocchiale di San Giacomo a Tovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Liguria
Provincia,Savona
Amministrazione,Amministrazione
Sindaco,"Alessandro Oddo (lista civica ""Per un nuovo paese"") dal 6-6-2016"
Data di istituzione,1861
Territorio,Territorio
Coordinate,44°10′35.62″N 8°16′06.42″E
Altitudine,47 m s.l.m.
Superficie,"9,45 km²"
Abitanti,2 509[1] (30-11-2025)
Densità,"265,5 ab./km²"
Frazioni,"Bardino Nuovo, Bardino Vecchio"
Comuni confinanti,"Borgio Verezzi, Calice Ligure, Finale Ligure, Giustenice, Magliolo, Pietra Ligure, Rialto"
Altre informazioni,Altre informazioni
Cod. postale,17020
Prefisso,019
Fuso orario,UTC+1
Codice ISTAT,009062
Cod. catastale,L315
Targa,SV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 435 GG[3]"
Nome abitanti,tovesi
Patrono,san Giacomo il Maggiore
Giorno festivo,25 luglio
Cartografia,Cartografia
Tovo San Giacomo,Tovo San Giacomo
Tovo San Giacomo – MappaPosizione del comune di Tovo San Giacomo nella provincia di Savona,Tovo San Giacomo – MappaPosizione del comune di Tovo San Giacomo nella provincia di Savona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
