Stimigliano comune,Stimigliano comune.1
,
Stimigliano – Veduta,Stimigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Franco Gilardi (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°18′N 12°34′E
Altitudine,207 m s.l.m.
Superficie,"11,38 km²"
Abitanti,2 204[1] (30-11-2025)
Densità,"193,67 ab./km²"
Frazioni,Stimigliano Scalo
Comuni confinanti,"Collevecchio, Forano, Ponzano Romano (RM), Sant'Oreste (RM), Tarano"
Altre informazioni,Altre informazioni
Cod. postale,02048
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057066
Cod. catastale,I959
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 742 GG[3]"
Nome abitanti,stimiglianesi
Patrono,santi Cosma e Damiano
Giorno festivo,26 settembre
PIL,"(nominale) 40,9 milioni di € (stima anno 2021)"
PIL procapite,(nominale) 18.650 € (stima anno 2021)
Cartografia,Cartografia
Stimigliano,Stimigliano
Stimigliano – MappaPosizione del comune di Stimigliano nella provincia di Rieti,Stimigliano – MappaPosizione del comune di Stimigliano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
