Toffia comune,Toffia comune.1
,
Toffia – VedutaToffia con la chiesa di Santa Maria Nova sopra Sasso Mosso,Toffia – VedutaToffia con la chiesa di Santa Maria Nova sopra Sasso Mosso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Danilo Pezzotti (lista civica Uniti per Toffia) dal 27-5-2019
Territorio,Territorio
Coordinate,42°13′N 12°45′E
Altitudine,262 m s.l.m.
Superficie,"11,33 km²"
Abitanti,1 050[1] (30-11-2025)
Densità,"92,67 ab./km²"
Frazioni,Pecorini
Comuni confinanti,"Castelnuovo di Farfa, Fara in Sabina, Nerola (RM), Poggio Nativo"
Altre informazioni,Altre informazioni
Cod. postale,02039
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057068
Cod. catastale,L189
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 830 GG[3]"
Nome abitanti,toffiesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Toffia,Toffia
Toffia – MappaPosizione del comune di Toffia nella provincia di Rieti,Toffia – MappaPosizione del comune di Toffia nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
