Configni comune,Configni comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Luciano Leonardi (lista civica In comune) dal 27-5-2019
Territorio,Territorio
Coordinate,42°25′00″N 12°38′00″E
Altitudine,549 m s.l.m.
Superficie,"22,93 km²"
Abitanti,556[1] (30-11-2025)
Densità,"24,25 ab./km²"
Frazioni,"Lugnola, Colli di Lugnola, Colli di Configni"
Comuni confinanti,"Calvi dell'Umbria (TR), Cottanello, Stroncone (TR), Vacone"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057024
Cod. catastale,C959
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 364 GG[3]"
Nome abitanti,confignani
Patrono,san Gregorio Magno
Giorno festivo,12 marzo
Cartografia,Cartografia
Configni,Configni
Configni – MappaPosizione del comune di Configni nella provincia di Rieti,Configni – MappaPosizione del comune di Configni nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
