Montasola comune,Montasola comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Vincenzo Leti (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°23′N 12°41′E
Altitudine,604 m s.l.m.
Superficie,"12,75 km²"
Abitanti,399[1] (30-11-2025)
Densità,"31,29 ab./km²"
Frazioni,"Forcella, La Città"
Comuni confinanti,"Casperia, Contigliano, Cottanello, Torri in Sabina, Vacone"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057039
Cod. catastale,F430
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Nome abitanti,montasolini
Patrono,San Pietro Apostolo e san Tommaso Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Montasola,Montasola
Montasola – MappaPosizione del comune di Montasola nella provincia di Rieti,Montasola – MappaPosizione del comune di Montasola nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
