Poggio Moiano comune,Poggio Moiano comune.1
,
Poggio Moiano – Veduta,Poggio Moiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Matteo Massimi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,42°12′N 12°53′E
Altitudine,520 m s.l.m.
Superficie,"26,95 km²"
Abitanti,2 808[1] (30-11-2025)
Densità,"104,19 ab./km²"
Frazioni,"Cerdomare, Osteria Nuova"
Comuni confinanti,"Colle di Tora, Frasso Sabino, Monteleone Sabino, Poggio Nativo, Pozzaglia Sabina, Rocca Sinibalda, Scandriglia, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02037
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057054
Cod. catastale,G764
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 311 GG[3]"
Nome abitanti,poggiomoianesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Poggio Moiano,Poggio Moiano
Poggio Moiano – MappaPosizione del comune di Poggio Moiano nella provincia di Rieti,Poggio Moiano – MappaPosizione del comune di Poggio Moiano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
