Castel Sant'Angelo comune,Castel Sant'Angelo comune.1
,
Castel Sant'Angelo – VedutaCastel Sant'Angelo visto dalla frazione di Canetra,Castel Sant'Angelo – VedutaCastel Sant'Angelo visto dalla frazione di Canetra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Luigi Taddei (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°24′N 13°01′E
Altitudine,581 m s.l.m.
Superficie,"31,27 km²"
Abitanti,1 159[1] (30-11-2025)
Densità,"37,06 ab./km²"
Frazioni,"Canetra (sede comunale), Castel Sant'Angelo, Mozza, Pagliara, Paterno, Piè di Castello, Piedimozza, Piè di Paterno, Ponte Alto, Ponte Basso, Ponte Santa Margherita, Terme di Cotilia, Vasche, Villa Ornaro, Ville"
Comuni confinanti,"Borgo Velino, Cittaducale, Micigliano, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057015
Cod. catastale,C268
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 487 GG[3]"
Nome abitanti,Castellani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castel Sant'Angelo,Castel Sant'Angelo
Castel Sant'Angelo – MappaPosizione del comune di Castel Sant'Angelo nella provincia di Rieti,Castel Sant'Angelo – MappaPosizione del comune di Castel Sant'Angelo nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
