Antrodoco comune,Antrodoco comune.1
,
Antrodoco – VedutaAntrodoco dall'alto,Antrodoco – VedutaAntrodoco dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Alberto Guerrieri (lista civica Antrodoco Futuro Insieme) dal 13-6-2022 (secondo mandato consecutivo)
Territorio,Territorio
Coordinate,42°25′N 13°05′E
Altitudine,525 m s.l.m.
Superficie,"63,9 km²"
Abitanti,2 242[1] (30-11-2025)
Densità,"35,09 ab./km²"
Frazioni,"Castello di Corno, Cinno, Rapelle, Rocca di Corno, Rocca di Fondi, Vignola"
Comuni confinanti,"Borbona, Borgo Velino, Cagnano Amiterno (AQ), Fiamignano, L'Aquila (AQ), Micigliano, Petrella Salto, Scoppito (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,02013
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057003
Cod. catastale,A315
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 320 GG[3]"
Nome abitanti,"antrodocani (nella varietà regionale locale, 'ndreocani)"
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Antrodoco,Antrodoco
Antrodoco – MappaPosizione del comune di Antrodoco nella provincia di Rieti,Antrodoco – MappaPosizione del comune di Antrodoco nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
