Poggio San Lorenzo comune,Poggio San Lorenzo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Giovanni Vallocchia (lista civica Insieme continuiamo) dal 27-5-2019
Territorio,Territorio
Coordinate,42°15′N 12°51′E
Altitudine,494 m s.l.m.
Superficie,"8,67 km²"
Abitanti,561[1] (30-11-2025)
Densità,"64,71 ab./km²"
Frazioni,Villetta Sant'Antonio
Comuni confinanti,"Casaprota, Frasso Sabino, Monteleone Sabino, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057056
Cod. catastale,G770
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 183 GG[3]"
Nome abitanti,poggiani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Poggio San Lorenzo,Poggio San Lorenzo
Poggio San Lorenzo – MappaPosizione del comune di Poggio San Lorenzo nella provincia di Rieti,Poggio San Lorenzo – MappaPosizione del comune di Poggio San Lorenzo nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
