Forano comune,Forano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Oreste Pastorelli (Intesa Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,42°18′N 12°36′E
Altitudine,218 m s.l.m.
Superficie,"17,69 km²"
Abitanti,3 229[1] (30-11-2025)
Densità,"182,53 ab./km²"
Frazioni,"Gavignano Sabino, Galantina, Santa Lucia-San Pietro"
Comuni confinanti,"Cantalupo in Sabina, Filacciano (RM), Poggio Catino, Poggio Mirteto, Ponzano Romano (RM), Selci, Stimigliano, Tarano"
Altre informazioni,Altre informazioni
Cod. postale,02044
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057029
Cod. catastale,D689
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 850 GG[3]"
Nome abitanti,foranesi
Patrono,san Biagio e san Sebastiano
Giorno festivo,3 febbraio e 20 gennaio
Cartografia,Cartografia
Forano,Forano
Forano – MappaPosizione del comune di Forano nella provincia di Rieti,Forano – MappaPosizione del comune di Forano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
