Rivodutri comune,Rivodutri comune.1
,
Rivodutri – VedutaVeduta di Rivodutri negli anni sessanta,Rivodutri – VedutaVeduta di Rivodutri negli anni sessanta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Michele Paniconi (lista civica Insieme per Rivodutri) dal 27-5-2019
Territorio,Territorio
Coordinate,42°31′N 12°51′E
Altitudine,560 m s.l.m.
Superficie,"26,79 km²"
Abitanti,1 120[1] (30-11-2025)
Densità,"41,81 ab./km²"
Frazioni,"Apoleggia, Cepparo, Piedicolle, Campigliano, Le Ettie, Ponte Crispolti, Pretaro, Colle Viglia, Vicchiagnone da Capo, Vicchiagnone da Piedi, Vignaletto, Villaggio Santa Maria"
Comuni confinanti,"Colli sul Velino, Leonessa, Morro Reatino, Poggio Bustone, Polino (TR), Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057060
Cod. catastale,H354
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 384 GG[3]"
Nome abitanti,rivodutrani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Rivodutri,Rivodutri
Rivodutri – MappaPosizione del comune di Rivodutri nella provincia di Rieti,Rivodutri – MappaPosizione del comune di Rivodutri nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
