Roccantica comune,Roccantica comune.1
,
Roccantica – Veduta,Roccantica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Alberto Sciarra (lista civica Per Roccantica) dal 09-06-2024 (3º mandato)
Territorio,Territorio
Coordinate,42°19′N 12°42′E
Altitudine,457 m s.l.m.
Superficie,"16,72 km²"
Abitanti,541[1] (30-11-2025)
Densità,"32,36 ab./km²"
Frazioni,Piano
Comuni confinanti,"Cantalupo in Sabina, Casperia, Monte San Giovanni in Sabina, Poggio Catino, Rieti, Salisano"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057061
Cod. catastale,H427
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 196 GG[3]"
Nome abitanti,roccolani
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
Roccantica,Roccantica
Roccantica – MappaPosizione del comune di Roccantica nella provincia di Rieti,Roccantica – MappaPosizione del comune di Roccantica nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
