Cittareale comune,Cittareale comune.1
,
Cittareale – VedutaLa rocca di Cittareale,Cittareale – VedutaLa rocca di Cittareale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Francesco Nelli (lista civica Per Cittareale) dal 5-6-2016
Territorio,Territorio
Coordinate,42°37′N 13°10′E
Altitudine,962 m s.l.m.
Superficie,"59,67 km²"
Abitanti,374[1] (30-11-2025)
Densità,"6,27 ab./km²"
Frazioni,"Ara dei Colli, Bricca, Cagnerone, Ca Jenco, Cesetta, Collenasso, Collicelle, Conca, Cupello, Folcara, Le Rose, Marianitto, Matrecciano, Mola Coletta, Pallottini, Santa Croce, Santa Giusta, Sacco, Scanzano, Sorecone, Trimezzo, Vetozza, Vezzano"
Comuni confinanti,"Accumoli, Amatrice, Borbona, Cascia (PG), Leonessa, Montereale (AQ), Norcia (PG), Posta"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057017
Cod. catastale,C749
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 061 GG[3]"
Nome abitanti,cittarealesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Cittareale,Cittareale
Cittareale – MappaPosizione del comune di Cittareale nella provincia di Rieti,Cittareale – MappaPosizione del comune di Cittareale nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
