Magliano Sabina comune,Magliano Sabina comune.1
,
Magliano Sabina – Veduta,Magliano Sabina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Giulio Falcetta (lista civica Magliano futura insieme) dal 27-5-2019
Territorio,Territorio
Coordinate,42°22′N 12°29′E
Altitudine,222 m s.l.m.
Superficie,"43,23 km²"
Abitanti,3 464[1] (30-11-2025)
Densità,"80,13 ab./km²"
Frazioni,"Foglia, Frangellini, Berardelli, Chiorano, Giglio, Madonna degli Angeli"
Comuni confinanti,"Calvi dell'Umbria (TR), Civita Castellana (VT), Collevecchio, Gallese (VT), Montebuono, Orte (VT), Otricoli (TR)"
Altre informazioni,Altre informazioni
Cod. postale,02046
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,057035
Cod. catastale,E812
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 769 GG[3]"
Nome abitanti,maglianesi
Patrono,san Liberatore vescovo e martire
Giorno festivo,15 maggio
Cartografia,Cartografia
Magliano Sabina,Magliano Sabina
Magliano Sabina – MappaPosizione del comune di Magliano Sabina nella provincia di Rieti,Magliano Sabina – MappaPosizione del comune di Magliano Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
