Pozzaglia Sabina comune,Pozzaglia Sabina comune.1
,
Pozzaglia Sabina – Veduta,Pozzaglia Sabina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Bruno Colio (lista civica Cambiare per unire) dal 27-5-2019
Territorio,Territorio
Coordinate,42°10′N 12°58′E
Altitudine,878 m s.l.m.
Superficie,"24,98 km²"
Abitanti,303[1] (30-11-2025)
Densità,"12,13 ab./km²"
Frazioni,"Montorio in Valle, Pratarioni, Pietraforte"
Comuni confinanti,"Ascrea, Castel di Tora, Colle di Tora, Collegiove, Orvinio, Paganico Sabino, Poggio Moiano, Scandriglia, Turania, Vivaro Romano (RM)"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057058
Cod. catastale,G951
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 963 GG[3]"
Nome abitanti,pozzagliesi
Patrono,sant'Ulpia
Giorno festivo,prima domenica dopo Pentecoste
Cartografia,Cartografia
Pozzaglia Sabina,Pozzaglia Sabina
Pozzaglia Sabina – MappaPosizione del comune di Pozzaglia Sabina nella provincia di Rieti,Pozzaglia Sabina – MappaPosizione del comune di Pozzaglia Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
