Fiamignano comune,Fiamignano comune.1
,
Fiamignano – VedutaMonte Serra e l'abitato di Fiamignano,Fiamignano – VedutaMonte Serra e l'abitato di Fiamignano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Carmine Rinaldi (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,42°16′N 13°08′E
Altitudine,988 m s.l.m.
Superficie,"100,62 km²"
Abitanti,1 151[1] (30-11-2025)
Densità,"11,44 ab./km²"
Frazioni,"Arapetrianni, Aringo, Brusciano, Carriafuni, Case del Forno, Case Federico, Case Tocci, Cercucce, Collaralli, Collegiudeo (Radicaro), Collemazzolino, Colle Sambuco, Corso, Fagge, Fontefredda (disabitata), Gamagna, Marmosedio, Mercato, Perdesco, Peschieta, Piedi la Piagge, San Pietro, San Salvatore, Sant'Agapito, Santa Lucia, Santa Maria, Sant'Ippolito, Santo Stefano, Ville (disabitata)"
Comuni confinanti,"Antrodoco, Pescorocchiano, Petrella Salto, Scoppito (AQ), Tornimparte (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,02023
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057028
Cod. catastale,D560
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 163 GG[3]"
Nome abitanti,fiamignanesi
Patrono,san Fabiano e san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Fiamignano,Fiamignano
Fiamignano – MappaPosizione del comune di Fiamignano nella provincia di Rieti,Fiamignano – MappaPosizione del comune di Fiamignano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
