Collalto Sabino comune,Collalto Sabino comune.1
,
Collalto Sabino – Veduta,Collalto Sabino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Maria Pia Mercuri (lista civica Progetto Comune) dal 4-10-2021 (2º mandato)
Territorio,Territorio
Coordinate,42°08′12.12″N 13°02′54.24″E
Altitudine,980 m s.l.m.
Superficie,"22,37 km²"
Abitanti,369[1] (30-11-2025)
Densità,"16,5 ab./km²"
Frazioni,"Ricetto, San Lorenzo"
Comuni confinanti,"Carsoli (AQ), Collegiove, Marcetelli, Nespolo, Turania, Pescorocchiano"
Altre informazioni,Altre informazioni
Cod. postale,02022
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057018
Cod. catastale,C841
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona F, 3 148 GG[3]"
Nome abitanti,collaltesi
Patrono,san Gregorio Magno
Giorno festivo,3 settembre
Cartografia,Cartografia
Collalto Sabino,Collalto Sabino
Collalto Sabino – MappaPosizione del comune di Collalto Sabino nella provincia di Rieti,Collalto Sabino – MappaPosizione del comune di Collalto Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
