Montenero Sabino comune,Montenero Sabino comune.1
,
Montenero Sabino – Veduta,Montenero Sabino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Lavinia De Cola (lista civica Vivere Montenero) dal 21-9-2020
Territorio,Territorio
Coordinate,42°17′N 12°49′E
Altitudine,450 m s.l.m.
Superficie,"22,59 km²"
Abitanti,266[1] (30-11-2025)
Densità,"11,78 ab./km²"
Frazioni,"Avantipoggio, Capitignano, Leone, Pago, San Benedetto, Sant'Andrea"
Comuni confinanti,"Casaprota, Mompeo, Monte San Giovanni in Sabina, Rieti, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057042
Cod. catastale,F579
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 184 GG[3]"
Nome abitanti,Montenerini
Patrono,San Cataldo
Giorno festivo,14 agosto
Cartografia,Cartografia
Montenero Sabino,Montenero Sabino
Montenero Sabino – MappaPosizione del comune di Montenero Sabino nella provincia di Rieti,Montenero Sabino – MappaPosizione del comune di Montenero Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
