Cantalupo in Sabina comune,Cantalupo in Sabina comune.1
,
Cantalupo in Sabina – VedutaChiesa di Maria Santissima Assunta in Cielo,Cantalupo in Sabina – VedutaChiesa di Maria Santissima Assunta in Cielo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Paolo Rinalduzzi (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°18′N 12°39′E
Altitudine,297 m s.l.m.
Superficie,"10,62 km²"
Abitanti,1 659[1] (30-11-2025)
Densità,"156,21 ab./km²"
Frazioni,"Cerri, Sant'Elia, San Pietro, San Michele"
Comuni confinanti,"Casperia, Forano, Poggio Catino, Roccantica, Selci, Torri in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057010
Cod. catastale,B631
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 994 GG[3]"
Nome abitanti,cantalupani
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Cantalupo in Sabina,Cantalupo in Sabina
Cantalupo in Sabina – MappaPosizione del comune di Cantalupo in Sabina nella provincia di Rieti,Cantalupo in Sabina – MappaPosizione del comune di Cantalupo in Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
