Amatrice comune,Amatrice comune.1
,
Amatrice – VedutaCorso Umberto I come appariva prima del terremoto del 2016.,Amatrice – VedutaCorso Umberto I come appariva prima del terremoto del 2016.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Giorgio Cortellesi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°37′45.77″N 13°17′18.14″E
Altitudine,955 m s.l.m.
Superficie,"174,4 km²"
Abitanti,2 153[1] (30-11-2025)
Densità,"12,35 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Accumoli, Campotosto (AQ), Cittareale, Cortino (TE), Crognaleto (TE), Montereale (AQ), Rocca Santa Maria (TE), Valle Castellana (TE)"
Altre informazioni,Altre informazioni
Cod. postale,02012
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057002
Cod. catastale,A258
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 048 GG[3]"
Nome abitanti,amatriciani
Patrono,santa Maria di Filetta
Giorno festivo,domenica dopo l'Ascensione
Cartografia,Cartografia
Amatrice,Amatrice
Amatrice – MappaPosizione del comune di Amatrice nella provincia di Rieti,Amatrice – MappaPosizione del comune di Amatrice nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
