Selci comune,Selci comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Egisto Colamedici (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°19′N 12°37′E
Altitudine,204 m s.l.m.
Superficie,"7,73 km²"
Abitanti,1 111[1] (30-11-2025)
Densità,"143,73 ab./km²"
Frazioni,"Aurano, Collevico, Vallerosa"
Comuni confinanti,"Cantalupo in Sabina, Forano, Tarano, Torri in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057065
Cod. catastale,I581
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 825 GG[3]"
Nome abitanti,selciani
Patrono,santo Stefano
Giorno festivo,3 agosto
Cartografia,Cartografia
Selci,Selci
Selci – MappaPosizione del comune di Selci nella provincia di Rieti,Selci – MappaPosizione del comune di Selci nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
