Poggio Mirteto comune,Poggio Mirteto comune.1
,
Poggio Mirteto – Veduta,Poggio Mirteto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Andrea Arcieri (CambiaMenti) dal 09-6-2024
Territorio,Territorio
Coordinate,42°16′02″N 12°41′19″E
Altitudine,246 m s.l.m.
Superficie,"26,4 km²"
Abitanti,6 085[1] (30-11-2025)
Densità,"230,49 ab./km²"
Frazioni,"Briccaro, Castel San Pietro Sabino, Fuori Dazio, Misericordia, Poggio Mirteto Scalo, San Luigi, San Valentino"
Comuni confinanti,"Filacciano (RM), Forano, Montopoli di Sabina, Poggio Catino, Salisano, Torrita Tiberina (RM)"
Altre informazioni,Altre informazioni
Cod. postale,02047
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057053
Cod. catastale,G763
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 901 GG[3]"
Nome abitanti,poggiani[4]; mirtensi[senza fonte]
Patrono,san Gaetano Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Poggio Mirteto,Poggio Mirteto
Poggio Mirteto – MappaPosizione del comune di Poggio Mirteto nella provincia di Rieti,Poggio Mirteto – MappaPosizione del comune di Poggio Mirteto nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
