Castel di Tora comune,Castel di Tora comune.1
,
Castel di Tora – Veduta,Castel di Tora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Cesarina D'Alessandro (lista civica Insieme per Castel di Tora) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°12′53.73″N 12°57′48.92″E
Altitudine,607 m s.l.m.
Superficie,"15,49 km²"
Abitanti,271[1] (30-11-2025)
Densità,"17,5 ab./km²"
Frazioni,"Monte Antuni, Monte di Tora"
Comuni confinanti,"Ascrea, Colle di Tora, Pozzaglia Sabina, Rocca Sinibalda, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057013
Cod. catastale,C098
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 469 GG[3]"
Nome abitanti,castelvecchiesi
Patrono,santa Anatolia
Giorno festivo,10 luglio
Cartografia,Cartografia
Castel di Tora,Castel di Tora
Castel di Tora – MappaPosizione del comune di Castel di Tora nella provincia di Rieti,Castel di Tora – MappaPosizione del comune di Castel di Tora nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
