Longone Sabino comune,Longone Sabino comune.1
,
Longone Sabino – VedutaPiazza del Colle,Longone Sabino – VedutaPiazza del Colle
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Valérie Louis-Francois (lista civica Alleanza comune) dal 9-6-2024
Territorio,Territorio
Coordinate,42°16′22.15″N 12°57′56.88″E
Altitudine,804 m s.l.m.
Superficie,"34,33 km²"
Abitanti,507[1] (30-11-2025)
Densità,"14,77 ab./km²"
Frazioni,"Fassinoro, Roccaranieri, San Silvestro"
Comuni confinanti,"Ascrea, Belmonte in Sabina, Cittaducale, Concerviano, Petrella Salto, Rieti, Rocca Sinibalda"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057034
Cod. catastale,E681
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 828 GG[3]"
Nome abitanti,longonesi
Patrono,santi Cosma e Damiano (martiri)
Giorno festivo,27 settembre
Cartografia,Cartografia
Longone Sabino,Longone Sabino
Longone Sabino – MappaPosizione del comune di Longone Sabino nella provincia di Rieti,Longone Sabino – MappaPosizione del comune di Longone Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
