Casaprota comune,Casaprota comune.1
,
Casaprota – Veduta,Casaprota – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Cosimo Mastrorocco (lista civica Progetto Futuro Condiviso) dal 13-06-2022
Territorio,Territorio
Coordinate,42°15′N 12°48′E
Altitudine,523 m s.l.m.
Superficie,"14,55 km²"
Abitanti,679[1] (30-11-2025)
Densità,"46,67 ab./km²"
Frazioni,Collelungo Sabino
Comuni confinanti,"Frasso Sabino, Mompeo, Montenero Sabino, Poggio Nativo, Poggio San Lorenzo, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057011
Cod. catastale,B934
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 317 GG[3]"
Nome abitanti,casaprotani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Casaprota,Casaprota
Casaprota – MappaPosizione del comune di Casaprota nella provincia di Rieti,Casaprota – MappaPosizione del comune di Casaprota nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
