Montopoli di Sabina comune,Montopoli di Sabina comune.1
,
Montopoli di Sabina – Veduta,Montopoli di Sabina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Andrea Fiori (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,42°15′N 12°41′E
Altitudine,331 m s.l.m.
Superficie,"37,94 km²"
Abitanti,4 108[1] (30-11-2025)
Densità,"108,28 ab./km²"
Frazioni,"Bocchignano, Casenove, Ferruti, Granica di Montopoli, Ponte Sfondato, Ponticchio, Santa Maria"
Comuni confinanti,"Castelnuovo di Farfa, Fara in Sabina, Fiano Romano (RM), Montelibretti (RM), Nazzano (RM), Poggio Mirteto, Salisano, Torrita Tiberina (RM)"
Altre informazioni,Altre informazioni
Cod. postale,02034
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057044
Cod. catastale,F687
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 056 GG[3]"
Nome abitanti,montopolesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Montopoli di Sabina,Montopoli di Sabina
Montopoli di Sabina – MappaPosizione del comune di Montopoli di Sabina nella provincia di Rieti,Montopoli di Sabina – MappaPosizione del comune di Montopoli di Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
