Turania comune,Turania comune.1
,
Turania – VedutaVeduta di Turania,Turania – VedutaVeduta di Turania
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Roberto Proietti (lista civica ViviAmo Turania) dal 27-5-2019
Territorio,Territorio
Coordinate,42°08′N 13°01′E
Altitudine,703 m s.l.m.
Superficie,"8,51 km²"
Abitanti,234[1] (30-11-2025)
Densità,"27,5 ab./km²"
Comuni confinanti,"Carsoli (AQ), Collalto Sabino, Collegiove, Pozzaglia Sabina, Vivaro Romano (RM)"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057071
Cod. catastale,G507
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 761 GG[3]"
Nome abitanti,turanensi o petesciani
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Turania,Turania
Turania – MappaPosizione del comune di Turania nella provincia di Rieti,Turania – MappaPosizione del comune di Turania nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
