Fara in Sabina comune,Fara in Sabina comune.1
,
Fara in Sabina – VedutaPanorama di Fara in Sabina,Fara in Sabina – VedutaPanorama di Fara in Sabina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Roberta Cuneo (Lega) dal 22-9-2020
Territorio,Territorio
Coordinate,42°11′24.82″N 12°41′46.36″E
Altitudine,482 m s.l.m.
Superficie,"54,96 km²"
Abitanti,13 968[1] (30-11-2025)
Densità,"254,15 ab./km²"
Frazioni,"Grottaglie, Baccelli, Borgo Quinzio, Canneto Sabino, Coltodino, Corese Terra, Passo Corese, Farfa, Prime Case, Talocci"
Comuni confinanti,"Castelnuovo di Farfa, Montelibretti (RM), Montopoli di Sabina, Nerola (RM), Toffia"
Altre informazioni,Altre informazioni
Cod. postale,02032
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057027
Cod. catastale,D493
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 242 GG[3]"
Nome abitanti,faresi
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Fara in Sabina,Fara in Sabina
Fara in Sabina – MappaPosizione del comune di Fara in Sabina nella provincia di Rieti,Fara in Sabina – MappaPosizione del comune di Fara in Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
