Scandriglia comune,Scandriglia comune.1
,
Scandriglia – VedutaUn particolare del paese,Scandriglia – VedutaUn particolare del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Lorenzo Ferrante (lista civica Onestà e coerenza) dal 27-5-2019
Territorio,Territorio
Coordinate,42°10′N 12°51′E
Altitudine,535 m s.l.m.
Superficie,"63,35 km²"
Abitanti,3 337[1] (30-11-2025)
Densità,"52,68 ab./km²"
Frazioni,"Ponticelli Sabino, Poggio Corese, Osteria Nuova"
Comuni confinanti,"Licenza (RM), Monteflavio (RM), Montorio Romano (RM), Nerola (RM), Orvinio, Percile (RM), Poggio Moiano, Poggio Nativo, Pozzaglia Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02038
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057064
Cod. catastale,I499
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 338 GG[3]"
Nome abitanti,scandrigliesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Scandriglia,Scandriglia
Scandriglia – MappaPosizione del comune di Scandriglia nella provincia di Rieti,Scandriglia – MappaPosizione del comune di Scandriglia nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
