Posta comune,Posta comune.1
,
Posta – VedutaIl borgo e la variante della Via Salaria in una cartolina degli anni Cinquanta,Posta – VedutaIl borgo e la variante della Via Salaria in una cartolina degli anni Cinquanta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Achille Pacifici (lista civica Andare avanti) dal 27-5-2019
Territorio,Territorio
Coordinate,42°31′38″N 13°06′56″E
Altitudine,721 m s.l.m.
Superficie,"66,01[1] km²"
Abitanti,517[2] (30-11-2025)
Densità,"7,83 ab./km²"
Frazioni,"Bacugno, Figino, Fontarello, Picciame, Steccato, Villa Camponeschi, Laculo, Cerqua, Favischio, Sigillo."
Comuni confinanti,"Borbona, Cittareale, Leonessa, Micigliano, Montereale (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,02019
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057057
Cod. catastale,G934
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 734 GG[4]"
Nome abitanti,Postaroli o apositani
Patrono,"san Felice, sant’Antonio"
Giorno festivo,"16 giugno, 18 Gennaio"
Cartografia,Cartografia
Posta,Posta
Posta – MappaPosizione del comune di Posta nella provincia di Rieti,Posta – MappaPosizione del comune di Posta nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
