Morro Reatino comune,Morro Reatino comune.1
,
Morro Reatino – Veduta,Morro Reatino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Massimo Conti (lista civica) dall'08-06-2024 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°32′N 12°50′E
Altitudine,750 m s.l.m.
Superficie,"15,74 km²"
Abitanti,336[1] (30-11-2025)
Densità,"21,35 ab./km²"
Frazioni,"Cerqueto, Collatea, La Croce, La Scilga, Le Casette, Santarioli, San Valentino, Torricella, Valliola"
Comuni confinanti,"Arrone (TR), Colli sul Velino, Labro, Polino (TR), Rivodutri"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057045
Cod. catastale,F746
Targa,RI
Cl. sismica,zona 2A (sismicità media)[2]
Cl. climatica,"zona E, 2 721 GG[3]"
Nome abitanti,morresi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Morro Reatino,Morro Reatino
Morro Reatino – MappaPosizione del comune di Morro Reatino nella provincia di Rieti,Morro Reatino – MappaPosizione del comune di Morro Reatino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
