Salisano comune,Salisano comune.1
,
Salisano – Veduta,Salisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Gisella Petrocchi (lista civica Uniti per Salisano) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°16′N 12°45′E
Altitudine,460 m s.l.m.
Superficie,"17,6 km²"
Abitanti,465[1] (30-11-2025)
Densità,"26,42 ab./km²"
Frazioni,"Montefalcone, Rocca, Roccabaldesca, Santa Lucia, Vallocchie"
Comuni confinanti,"Castelnuovo di Farfa, Mompeo, Monte San Giovanni in Sabina, Montopoli di Sabina, Poggio Catino, Poggio Mirteto, Roccantica"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057063
Cod. catastale,H713
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 202 GG[3]"
Nome abitanti,salisanesi
Patrono,santa Giulia
Giorno festivo,terza domenica di agosto
Cartografia,Cartografia
Salisano,Salisano
Salisano – MappaPosizione del comune di Salisano nella provincia di Rieti,Salisano – MappaPosizione del comune di Salisano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
