Contigliano comune,Contigliano comune.1
,
Contigliano – VedutaContigliano Alto visto dal più recente Contigliano Basso,Contigliano – VedutaContigliano Alto visto dal più recente Contigliano Basso
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Angelo Toni (Contigliano per Contigliano) dal 26-5-2025
Territorio,Territorio
Coordinate,42°25′N 12°46′E
Altitudine,488 m s.l.m.
Superficie,"53,55 km²"
Abitanti,3 664[1] (30-11-2025)
Densità,"68,42 ab./km²"
Frazioni,"Cerquetello, Collebaccaro, Madonna del Piano, Montisola I, Montisola II, Piani San Filippo, Reopasto, San Filippo, San Valentino, Terria"
Comuni confinanti,"Casperia, Colli sul Velino, Cottanello, Greccio, Montasola, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02043
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057025
Cod. catastale,C969
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 253 GG[3]"
Nome abitanti,contiglianesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Contigliano,Contigliano
Contigliano – MappaPosizione del comune di Contigliano nella provincia di Rieti,Contigliano – MappaPosizione del comune di Contigliano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
