Monteleone Sabino comune,Monteleone Sabino comune.1
,
Monteleone Sabino – Veduta,Monteleone Sabino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Fabrizio Crescenzi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°14′N 12°51′E
Altitudine,496 m s.l.m.
Superficie,"19,04 km²"
Abitanti,1 130[1] (30-11-2025)
Densità,"59,35 ab./km²"
Frazioni,"Ginestra Sabina, Matone"
Comuni confinanti,"Frasso Sabino, Poggio Moiano, Poggio San Lorenzo, Rocca Sinibalda, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02033
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057041
Cod. catastale,F541
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 187 GG[3]"
Nome abitanti,monteleonesi
Patrono,santa Vittoria
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Monteleone Sabino,Monteleone Sabino
Monteleone Sabino – MappaPosizione del comune di Monteleone Sabino nella provincia di Rieti,Monteleone Sabino – MappaPosizione del comune di Monteleone Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
