Poggio Nativo comune,Poggio Nativo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Gianluca Vagni (lista civica Poggio Nativo Direzione Futuro) dal 10-6-2024
Territorio,Territorio
Coordinate,42°13′N 12°48′E
Altitudine,455 m s.l.m.
Superficie,"16,5 km²"
Abitanti,2 589[1] (30-11-2025)
Densità,"156,91 ab./km²"
Frazioni,Casali; Monte Santa Maria; Osteria Nuova
Comuni confinanti,"Casaprota, Castelnuovo di Farfa, Frasso Sabino, Mompeo, Nerola (RM), Poggio Moiano, Scandriglia, Toffia"
Altre informazioni,Altre informazioni
Cod. postale,02030
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057055
Cod. catastale,G765
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 120 GG[3]"
Nome abitanti,poggionativesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Poggio Nativo,Poggio Nativo
Poggio Nativo – MappaPosizione del comune di Poggio Nativo nella provincia di Rieti,Poggio Nativo – MappaPosizione del comune di Poggio Nativo nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
