Tarano comune,Tarano comune.1
,
Tarano – Veduta,Tarano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Miranda Glandarelli (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°21′N 12°36′E
Altitudine,234 m s.l.m.
Superficie,"19,98 km²"
Abitanti,1 372[1] (30-11-2025)
Densità,"68,67 ab./km²"
Frazioni,"Borgonuovo (Baracche di San Polo), San Giorgio (Baracche di Tarano), San Polo"
Comuni confinanti,"Collevecchio, Forano, Montebuono, Selci, Stimigliano, Torri in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057067
Cod. catastale,L046
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 879 GG[3]"
Nome abitanti,taranesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Tarano,Tarano
Tarano – MappaPosizione del comune di Tarano nella provincia di Rieti,Tarano – MappaPosizione del comune di Tarano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
