Castelnuovo di Farfa comune,Castelnuovo di Farfa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Luca Zonetti (lista civica) dal 2015 (2º mandato dal 2021)
Territorio,Territorio
Coordinate,42°14′N 12°45′E
Altitudine,358 m s.l.m.
Superficie,"8,84 km²"
Abitanti,978[1] (30-11-2025)
Densità,"110,63 ab./km²"
Frazioni,"Granica, Colli"
Comuni confinanti,"Fara in Sabina, Mompeo, Montopoli di Sabina, Poggio Nativo, Salisano, Toffia"
Altre informazioni,Altre informazioni
Cod. postale,02031
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057014
Cod. catastale,C224
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 016 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castelnuovo di Farfa,Castelnuovo di Farfa
Castelnuovo di Farfa – MappaPosizione del comune di Castelnuovo di Farfa nella provincia di Rieti,Castelnuovo di Farfa – MappaPosizione del comune di Castelnuovo di Farfa nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
