Labro comune,Labro comune.1
,
Labro – Veduta,Labro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Gastone Curini (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,42°31′33.73″N 12°48′01″E
Altitudine,628 m s.l.m.
Superficie,"11,75 km²"
Abitanti,339[1] (30-11-2025)
Densità,"28,85 ab./km²"
Frazioni,"Colle Sorbo, Colle di Mezzo, Colle Rucciolo, Madonna della Luce, Collicelle, Macchie Basse, Macchie Alte, Colle del Lupo, Colle Sterleta, Collelungo, Case Tolla, Valle Avanzana"
Comuni confinanti,"Arrone (TR), Colli sul Velino, Morro Reatino, Terni (TR)"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057032
Cod. catastale,E393
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 508 GG[3]"
Nome abitanti,labresi
Patrono,san Pancrazio
Giorno festivo,12 maggio
Cartografia,Cartografia
Labro,Labro
Labro – MappaPosizione del comune di Labro nella provincia di Rieti,Labro – MappaPosizione del comune di Labro nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
