Rocca Sinibalda comune,Rocca Sinibalda comune.1
,
Rocca Sinibalda – VedutaVeduta di Rocca Sinibalda con il Castello,Rocca Sinibalda – VedutaVeduta di Rocca Sinibalda con il Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Stefano Micheli (lista civica Rinnovamento comunale) dal 10-6-2018
Territorio,Territorio
Coordinate,42°16′21.5″N 12°55′28.2″E
Altitudine,552 m s.l.m.
Superficie,"49,56 km²"
Abitanti,802[1] (30-11-2025)
Densità,"16,18 ab./km²"
Frazioni,"Magnalardo, Pantana, Posticciola, Tomassella, Torricchia, Trampani, Vallecupola"
Comuni confinanti,"Ascrea, Belmonte in Sabina, Castel di Tora, Colle di Tora, Concerviano, Longone Sabino, Monteleone Sabino, Poggio Moiano, Torricella in Sabina, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02026
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057062
Cod. catastale,H446
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 289 GG[3]"
Nome abitanti,rocchegiani o rocchigiani
Patrono,sant'Agapito e San Giustino
Giorno festivo,1º giugno
Cartografia,Cartografia
Rocca Sinibalda,Rocca Sinibalda
Rocca Sinibalda – MappaPosizione del comune di Rocca Sinibalda nella provincia di Rieti,Rocca Sinibalda – MappaPosizione del comune di Rocca Sinibalda nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
