Borgo Velino comune,Borgo Velino comune.1
,
Borgo Velino – VedutaPiazza Umberto I con la torre civica,Borgo Velino – VedutaPiazza Umberto I con la torre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Emanuele Berardi (Insieme Nella Continuità) dal 4-10-2021 (3º mandato)
Territorio,Territorio
Coordinate,42°24′N 13°04′E
Altitudine,460 m s.l.m.
Superficie,"18,29 km²"
Abitanti,900[1] (30-11-2025)
Densità,"49,21 ab./km²"
Frazioni,Colle Rinaldo
Comuni confinanti,"Antrodoco, Castel Sant'Angelo, Cittaducale, Fiamignano, Micigliano, Petrella Salto"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057008
Cod. catastale,A996
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 202 GG[3]"
Nome abitanti,borghettani
Patrono,san Dionigi
Cartografia,Cartografia
Borgo Velino,Borgo Velino
Borgo Velino – MappaPosizione del comune di Borgo Velino nella provincia di Rieti,Borgo Velino – MappaPosizione del comune di Borgo Velino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
