Varco Sabino comune,Varco Sabino comune.1
,
Varco Sabino – VedutaScorcio panoramico del paese,Varco Sabino – VedutaScorcio panoramico del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Giuseppe Adamo Camillo Gerbino (lista civica Varco nel futuro) dal 14-5-2023
Territorio,Territorio
Coordinate,42°14′N 13°01′E
Altitudine,742 m s.l.m.
Superficie,"24,75 km²"
Abitanti,149[1] (30-11-2025)
Densità,"6,02 ab./km²"
Frazioni,"Rigatti, Rocca Vittiana, Poggio Vittiano"
Comuni confinanti,"Ascrea, Castel di Tora, Concerviano, Marcetelli, Paganico Sabino, Pescorocchiano, Petrella Salto, Rocca Sinibalda"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057073
Cod. catastale,L676
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 715 GG[3]"
Nome abitanti,varcolani
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Varco Sabino,Varco Sabino
Varco Sabino – MappaPosizione del comune di Varco Sabino nella provincia di Rieti,Varco Sabino – MappaPosizione del comune di Varco Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
