Greccio comune,Greccio comune.1
,
Greccio – VedutaGreccio visto dalla Piana Reatina,Greccio – VedutaGreccio visto dalla Piana Reatina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Emiliano Fabi (lista civica Greccio in cammino) dal 27-5-2019
Territorio,Territorio
Coordinate,42°27′N 12°45′E
Altitudine,705 m s.l.m.
Superficie,"17,86 km²"
Abitanti,1 452[1] (30-11-2025)
Densità,"81,3 ab./km²"
Frazioni,"Limiti di Greccio, Sellecchia, Spinacceto"
Comuni confinanti,"Contigliano, Cottanello, Rieti, Stroncone (TR)"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057031
Cod. catastale,E160
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 294 GG[3]"
Nome abitanti,grecciani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Greccio,Greccio
Greccio – MappaPosizione del comune di Greccio nella provincia di Rieti,Greccio – MappaPosizione del comune di Greccio nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
