Colle di Tora comune,Colle di Tora comune.1
,
Colle di Tora – Veduta,Colle di Tora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Otello Loreti (lista civica Con senso civico) dal 4-10-2021
Territorio,Territorio
Coordinate,42°12′42.27″N 12°56′51.61″E
Altitudine,542 m s.l.m.
Superficie,"14,37 km²"
Abitanti,348[1] (30-11-2025)
Densità,"24,22 ab./km²"
Comuni confinanti,"Castel di Tora, Poggio Moiano, Pozzaglia Sabina, Rocca Sinibalda"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057019
Cod. catastale,C857
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 271 GG[3]"
Nome abitanti,collepiccolesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Colle di Tora,Colle di Tora
Colle di Tora – MappaPosizione del comune di Colle di Tora nella provincia di Rieti,Colle di Tora – MappaPosizione del comune di Colle di Tora nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
