Colli sul Velino comune,Colli sul Velino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Achille Nobili (lista civica Gente Nuova Progetto Comune) dal 09.06.2024
Data di istituzione,1957
Territorio,Territorio
Coordinate,42°30′N 12°47′E
Altitudine,465 m s.l.m.
Superficie,"12,76 km²"
Abitanti,466[1] (30-11-2025)
Densità,"36,52 ab./km²"
Frazioni,"Le Case, Castellina, Montelungo, Faccenda, Paduli, Colle dei Signori, Torrone, Maccarese, Collespina"
Comuni confinanti,"Contigliano, Labro, Morro Reatino, Rieti, Rivodutri, Terni (TR)"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057022
Cod. catastale,C880
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 211 GG[3]"
Nome abitanti,collani
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Colli sul Velino,Colli sul Velino
Colli sul Velino – MappaPosizione del comune di Colli sul Velino nella provincia di Rieti,Colli sul Velino – MappaPosizione del comune di Colli sul Velino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
