Concerviano comune,Concerviano comune.1
,
Concerviano – VedutaPanorama di Concerviano dai boschi di Monte Piombarolo,Concerviano – VedutaPanorama di Concerviano dai boschi di Monte Piombarolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Pierluigi Buzzi (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°19′22.66″N 12°59′07.84″E
Altitudine,560 m s.l.m.
Superficie,"21,39 km²"
Abitanti,280[1] (30-11-2025)
Densità,"13,09 ab./km²"
Frazioni,"Cenciara, Pratoianni, Vaccareccia"
Comuni confinanti,"Longone Sabino, Petrella Salto, Rieti, Rocca Sinibalda, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057023
Cod. catastale,C946
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 241 GG[3]"
Nome abitanti,concervianesi
Patrono,San Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Concerviano,Concerviano
Concerviano – MappaPosizione del comune di Concerviano nella provincia di Rieti,Concerviano – MappaPosizione del comune di Concerviano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
