Torri in Sabina comune,Torri in Sabina comune.1
,
Torri in Sabina – VedutaIl castello di Rocchettine,Torri in Sabina – VedutaIl castello di Rocchettine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Michele Concezzi (lista civica Tradizione e progresso) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°21′N 12°38′E
Altitudine,275 m s.l.m.
Superficie,"26,31 km²"
Abitanti,1 208[1] (30-11-2025)
Densità,"45,91 ab./km²"
Frazioni,"Rocchette, Santa Lucia, Vescovio"
Comuni confinanti,"Calvi dell'Umbria (TR), Cantalupo in Sabina, Casperia, Montasola, Montebuono, Selci, Tarano, Vacone"
Altre informazioni,Altre informazioni
Cod. postale,02049
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057070
Cod. catastale,L286
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 954 GG[3]"
Nome abitanti,"torresi(o ""Torreciani"" nel dialetto locale)"
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Torri in Sabina,Torri in Sabina
Torri in Sabina – MappaPosizione del comune di Torri in Sabina nella provincia di Rieti,Torri in Sabina – MappaPosizione del comune di Torri in Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
