Provincia di Rieti provincia,Provincia di Rieti provincia.1
(dettagli),(dettagli)
"Provincia di Rieti – VedutaPalazzo d'Oltre Velino, sede attuale dell'amministrazione provinciale","Provincia di Rieti – VedutaPalazzo d'Oltre Velino, sede attuale dell'amministrazione provinciale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Amministrazione,Amministrazione
Capoluogo,Rieti
Presidente,Roberta Cuneo (LSP) dal 29-1-2023
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,42°23′54.66″N 12°51′42.48″E
Altitudine,405 m s.l.m.
Superficie,"2 750,52 km²"
Abitanti,149 453[1] (31-10-2025)
Densità,"54,34 ab./km²"
Comuni,73 comuni
Province confinanti,"Terni, Perugia, Ascoli Piceno, Teramo, L'Aquila, Roma, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,"02100 Rieti, 02010-02049 provincia"
Prefisso,"0744, 0746, 0765"
Fuso orario,UTC+1
ISO 3166-2,IT-RI
Codice ISTAT,057
Targa,RI
Cartografia,Cartografia
Provincia di Rieti – Localizzazione,Provincia di Rieti – Localizzazione
Provincia di Rieti – MappaPosizione della provincia di Rieti all’interno del Lazio.,Provincia di Rieti – MappaPosizione della provincia di Rieti all’interno del Lazio.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
