Ascrea comune,Ascrea comune.1
,
Ascrea – VedutaLago del Turano visto da Ascrea,Ascrea – VedutaLago del Turano visto da Ascrea
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Riccardo Nini (lista civica Insieme per Ascrea e Stipes) dal 4-10-2021
Territorio,Territorio
Coordinate,42°11′49″N 12°59′51″E
Altitudine,757 m s.l.m.
Superficie,"13,98 km²"
Abitanti,195[1] (30-11-2025)
Densità,"13,95 ab./km²"
Frazioni,"Stipes, Valleverde Stipes"
Comuni confinanti,"Castel di Tora, Collegiove, Longone Sabino, Marcetelli, Paganico Sabino, Pozzaglia Sabina, Rocca Sinibalda, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057004
Cod. catastale,A464
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 742 GG[3]"
Nome abitanti,ascreani
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ascrea,Ascrea
Ascrea – MappaPosizione del comune di Ascrea nella provincia di Rieti,Ascrea – MappaPosizione del comune di Ascrea nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
