Micigliano comune,Micigliano comune.1
,
Micigliano – VedutaCampanile dei Santi Quirico e Giulitta,Micigliano – VedutaCampanile dei Santi Quirico e Giulitta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Emiliano Salvati (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°27′N 13°03′E
Altitudine,1 005 m s.l.m.
Superficie,"36,85 km²"
Abitanti,119[1] (30-11-2025)
Densità,"3,23 ab./km²"
Frazioni,"Terminillo, S. Quirico"
Comuni confinanti,"Antrodoco, Borbona, Borgo Velino, Cantalice, Castel Sant'Angelo, Cittaducale, Leonessa, Posta, Rieti"
Altre informazioni,Altre informazioni
Cod. postale,02010
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057037
Cod. catastale,F193
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 048 GG[3]"
Nome abitanti,miciglianesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Micigliano,Micigliano
Micigliano – MappaPosizione del comune di Micigliano nella provincia di Rieti,Micigliano – MappaPosizione del comune di Micigliano nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
