Collevecchio comune,Collevecchio comune.1
,
Collevecchio – VedutaPanorama del centro storico di Collevecchio dai terrazzi fluviali del Tevere sullo sfondo i Monti Cimini,Collevecchio – VedutaPanorama del centro storico di Collevecchio dai terrazzi fluviali del Tevere sullo sfondo i Monti Cimini
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Federico Vittori (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°20′01.25″N 12°33′11.84″E
Altitudine,245 m s.l.m.
Superficie,"26,95 km²"
Abitanti,1 582[1] (30-11-2025)
Densità,"58,7 ab./km²"
Frazioni,"Cicignano, Poggio Sommavilla"
Comuni confinanti,"Civita Castellana (VT), Magliano Sabina, Montebuono, Ponzano Romano (RM), Stimigliano, Tarano"
Altre informazioni,Altre informazioni
Cod. postale,02042
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057021
Cod. catastale,C876
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 899 GG[3]"
Nome abitanti,collevecchiani
Patrono,sant'Andrea apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Collevecchio,Collevecchio
Collevecchio – MappaPosizione del comune di Collevecchio nella provincia di Rieti,Collevecchio – MappaPosizione del comune di Collevecchio nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
