Paganico Sabino comune,Paganico Sabino comune.1
,
Paganico Sabino – VedutaUn vicolo di Paganico Sabino,Paganico Sabino – VedutaUn vicolo di Paganico Sabino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Danilo D'Ignazi (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°11′26″N 12°59′52″E
Altitudine,720 m s.l.m.
Superficie,"9,31 km²"
Abitanti,157[1] (30-11-2025)
Densità,"16,86 ab./km²"
Comuni confinanti,"Ascrea, Collegiove, Marcetelli, Pozzaglia Sabina, Varco Sabino"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057048
Cod. catastale,G232
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Nome abitanti,paganichesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Paganico Sabino,Paganico Sabino
Paganico Sabino – MappaPosizione del comune di Paganico Sabino nella provincia di Rieti,Paganico Sabino – MappaPosizione del comune di Paganico Sabino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
