Poggio Catino comune,Poggio Catino comune.1
,
Poggio Catino – VedutaScorcio di Poggio Catino,Poggio Catino – VedutaScorcio di Poggio Catino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Antonino Tomaselli (lista civica Rinascita per Poggio Catino) dal 10-6-2024
Territorio,Territorio
Coordinate,42°18′N 12°42′E
Altitudine,387 m s.l.m.
Superficie,"14,98 km²"
Abitanti,1 305[1] (30-11-2025)
Densità,"87,12 ab./km²"
Frazioni,Catino
Comuni confinanti,"Cantalupo in Sabina, Forano, Poggio Mirteto, Roccantica, Salisano"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057052
Cod. catastale,G757
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 069 GG[3]"
Nome abitanti,poggiocatinari (in antichìtà Zingari e Perfidi per Catino)
Patrono,san Silvestro Papa e san Rocco
Giorno festivo,31 dicembre e 16 agosto
Cartografia,Cartografia
Poggio Catino,Poggio Catino
Poggio Catino – MappaPosizione del comune di Poggio Catino nella provincia di Rieti,Poggio Catino – MappaPosizione del comune di Poggio Catino nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
