Belmonte in Sabina comune,Belmonte in Sabina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Danilo Imperatori (lista civica Insieme per Belmonte) dal 27-5-2013 (2º mandato dal 10-06-2018)
Territorio,Territorio
Coordinate,42°19′N 12°54′E
Altitudine,756 m s.l.m.
Superficie,"23,65 km²"
Abitanti,653[1] (30-11-2025)
Densità,"27,61 ab./km²"
Frazioni,"Collina, Prime Ville, Seconde Ville"
Comuni confinanti,"Longone Sabino, Rieti, Rocca Sinibalda, Torricella in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02020
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057005
Cod. catastale,A765
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 741 GG[3]"
Nome abitanti,belmontesi
Patrono,Maria SS. della Croce
Giorno festivo,10 settembre
Cartografia,Cartografia
Belmonte in Sabina,Belmonte in Sabina
Belmonte in Sabina – MappaPosizione del comune di Belmonte in Sabina nella provincia di Rieti,Belmonte in Sabina – MappaPosizione del comune di Belmonte in Sabina nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
