Borgorose comune,Borgorose comune.1
,
Borgorose – VedutaVeduta di Borgorose,Borgorose – VedutaVeduta di Borgorose
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Mariano Calisse (lista civica Azione e futuro) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,42°12′N 13°14′E
Altitudine,732 m s.l.m.
Superficie,"145,82 km²"
Abitanti,4 209[1] (30-11-2025)
Densità,"28,86 ab./km²"
Frazioni,"Cartore, Castelmenardo, Collefegato, Collemaggiore, Colleviati-Villette, Collorso, Corvaro, Grotti, Pagliara, Poggiovalle, Ponte Civitella, Sant'Anatolia, Santo Stefano, Spedino, Torano, Villerose"
Comuni confinanti,"L'Aquila (AQ), Lucoli (AQ), Magliano de' Marsi (AQ), Pescorocchiano, Sante Marie (AQ), Tornimparte (AQ)"
Altre informazioni,Altre informazioni
Cod. postale,02021
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057007
Cod. catastale,B008
Targa,RI
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 697 GG[3]"
Nome abitanti,borghigiani
Patrono,sant'Anastasia
Giorno festivo,10 marzo
Cartografia,Cartografia
Borgorose,Borgorose
Borgorose – MappaPosizione del comune di Borgorose nella provincia di Rieti,Borgorose – MappaPosizione del comune di Borgorose nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
