Casperia comune,Casperia comune.1
,
Casperia – Veduta,Casperia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Giancarlo Sileri (lista civica Uniti per Casperia) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,42°20′N 12°40′E
Altitudine,397 m s.l.m.
Superficie,"25,31 km²"
Abitanti,1 213[2] (30-11-2025)
Densità,"47,93 ab./km²"
Frazioni,"Paranzano, Santa Maria in Legarano, San Vito"
Comuni confinanti,"Cantalupo in Sabina, Contigliano, Montasola, Rieti, Roccantica, Selci, Torri in Sabina"
Altre informazioni,Altre informazioni
Cod. postale,02041
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,057012
Cod. catastale,A472
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 2 087 GG[4]"
Nome abitanti,casperiani o aspresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Casperia,Casperia
Casperia – MappaPosizione del comune di Casperia nella provincia di Rieti,Casperia – MappaPosizione del comune di Casperia nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
