Cottanello comune,Cottanello comune.1
,
Cottanello – Veduta,Cottanello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Rieti
Amministrazione,Amministrazione
Sindaco,Roberto Angeletti (lista civica Noi & Voi per Cottanello) dal 21-9-2020
Territorio,Territorio
Coordinate,42°24′21″N 12°41′10″E
Altitudine,551 m s.l.m.
Superficie,"36,7 km²"
Abitanti,515[1] (30-11-2025)
Densità,"14,03 ab./km²"
Frazioni,"Castiglione, Colle della Fonte, Le Piane, Collelungo, Livertini, Castagneto, Ferrari, Fontemonaci, San Biagio, Acquaviva"
Comuni confinanti,"Configni, Contigliano, Greccio, Montasola, Stroncone (TR), Vacone"
Altre informazioni,Altre informazioni
Cod. postale,02040
Prefisso,0746
Fuso orario,UTC+1
Codice ISTAT,057026
Cod. catastale,D124
Targa,RI
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 368 GG[3]"
Nome abitanti,cottanellesi
Patrono,"sant'Andrea Apostolo, ma si festeggia anche San Cataldo"
Giorno festivo,30 novembre e 10 maggio
Cartografia,Cartografia
Cottanello,Cottanello
Cottanello – MappaPosizione del comune di Cottanello nella provincia di Rieti,Cottanello – MappaPosizione del comune di Cottanello nella provincia di Rieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
